Period,Country,Production_kt,World_kt,Production_Mt,share_pct,Group,value_label
2010,Indonesia,21958,46245,21.958,47.481889934046926,Indonesia,22.0 Mt · 47.5%
2011,Indonesia,23097,50957,23.097,45.3264517141904,Indonesia,23.1 Mt · 45.3%
2012,Indonesia,26016,53882,26.016,48.28328569837794,Indonesia,26.0 Mt · 48.3%
2013,Indonesia,27782,56834,27.782,48.88271105324278,Indonesia,27.8 Mt · 48.9%
2014,Indonesia,29278,60168,29.278,48.66041749767318,Indonesia,29.3 Mt · 48.7%
2015,Indonesia,31070,63073,31.07,49.260380828563726,Indonesia,31.1 Mt · 49.3%
2016,Indonesia,31731,60057,31.731,52.83480693341326,Indonesia,31.7 Mt · 52.8%
2017,Indonesia,37965,69638,37.965,54.517648410350674,Indonesia,38.0 Mt · 54.5%
2018,Indonesia,43108,74819,43.108,57.61638086582285,Indonesia,43.1 Mt · 57.6%
2019,Indonesia,47180,77152,47.18,61.152011613438404,Indonesia,47.2 Mt · 61.2%
2020,Indonesia,47034,75478,47.034,62.31484671029969,Indonesia,47.0 Mt · 62.3%
2021,Indonesia,46888,76615,46.888,61.19950401357437,Indonesia,46.9 Mt · 61.2%
2022,Indonesia,46729,79411,46.729,58.84449257659519,Indonesia,46.7 Mt · 58.8%
2023,Indonesia,48530,81707,48.53,59.39515586179886,Indonesia,48.5 Mt · 59.4%
2024,Indonesia,44000,79252,44.0,55.51910361883612,Indonesia,44.0 Mt · 55.5%
2010,Malaysia,16994,46245,16.994,36.747756514217755,Malaysia,17.0 Mt · 36.7%
2011,Malaysia,18912,50957,18.912,37.11364483780442,Malaysia,18.9 Mt · 37.1%
2012,Malaysia,18785,53882,18.785,34.863219628076166,Malaysia,18.8 Mt · 34.9%
2013,Malaysia,19216,56834,19.216,33.81074708801069,Malaysia,19.2 Mt · 33.8%
2014,Malaysia,19667,60168,19.667,32.686810264592474,Malaysia,19.7 Mt · 32.7%
2015,Malaysia,19962,63073,19.962,31.649041586732835,Malaysia,20.0 Mt · 31.6%
2016,Malaysia,17319,60057,17.319,28.83760427593786,Malaysia,17.3 Mt · 28.8%
2017,Malaysia,19919,69638,19.919,28.603635945891607,Malaysia,19.9 Mt · 28.6%
2018,Malaysia,19516,74819,19.516,26.084283403948195,Malaysia,19.5 Mt · 26.1%
2019,Malaysia,19858,77152,19.858,25.738801327250105,Malaysia,19.9 Mt · 25.7%
2020,Malaysia,19141,75478,19.141,25.359707464426723,Malaysia,19.1 Mt · 25.4%
2021,Malaysia,18116,76615,18.116,23.6455002284148,Malaysia,18.1 Mt · 23.6%
2022,Malaysia,18453,79411,18.453,23.23733487803957,Malaysia,18.5 Mt · 23.2%
2023,Malaysia,18552,81707,18.552,22.7055209467977,Malaysia,18.6 Mt · 22.7%
2024,Malaysia,19338,79252,19.338,24.400646040478474,Malaysia,19.3 Mt · 24.4%
2010,Thailand,1360,46245,1.36,2.940858471186074,Other,1.4 Mt · 2.9%
2011,Thailand,1710,50957,1.71,3.35577055164158,Other,1.7 Mt · 3.4%
2012,Thailand,1820,53882,1.82,3.377751382650978,Other,1.8 Mt · 3.4%
2013,Thailand,2134,56834,2.134,3.7547946651652184,Other,2.1 Mt · 3.8%
2014,Thailand,2000,60168,2.0,3.324026060364313,Other,2.0 Mt · 3.3%
2015,Thailand,2068,63073,2.068,3.278740507031535,Other,2.1 Mt · 3.3%
2016,Thailand,1804,60057,1.804,3.003813044274606,Other,1.8 Mt · 3.0%
2017,Thailand,2602,69638,2.602,3.7364657227375857,Other,2.6 Mt · 3.7%
2018,Thailand,2775,74819,2.775,3.7089509349229473,Other,2.8 Mt · 3.7%
2019,Thailand,3040,77152,3.04,3.9402737453338865,Other,3.0 Mt · 3.9%
2020,Thailand,2690,75478,2.69,3.5639524099737674,Other,2.7 Mt · 3.6%
2021,Thailand,2940,76615,2.94,3.837368661489265,Other,2.9 Mt · 3.8%
2022,Thailand,3240,79411,3.24,4.08003928926723,Other,3.2 Mt · 4.1%
