Entity,Code,Year,Palm fruit oil - Area harvested (hectares)
Colombia,COL,1961,800
Colombia,COL,2023,502624
Cote d'Ivoire,CIV,1961,45000
Cote d'Ivoire,CIV,2023,422097
Democratic Republic of Congo,COD,1961,229000
Democratic Republic of Congo,COD,2023,295955
Ghana,GHA,1961,60000
Ghana,GHA,2023,425263
Guinea,GIN,1961,225000
Guinea,GIN,2023,331000
Indonesia,IDN,1961,70000
Indonesia,IDN,2023,14170000
Malaysia,MYS,1961,43302
Malaysia,MYS,2023,5130172
Melanesia,OWID_MNS,1961,55
Melanesia,OWID_MNS,2023,312414
Nigeria,NGA,1961,2700000
Nigeria,NGA,2023,4512131
Thailand,THA,1961,950
Thailand,THA,2023,993677
