year,cpo_production_Mt,planted_area_Mha
2000,10.842095,3.38
2001,11.804,3.5
2002,11.9093,3.67
2003,13.3548,3.8
2004,13.9762,3.88
2005,14.9617,4.05
2006,15.8807,4.17
2007,15.823745,4.3
2008,17.73444,4.49
2009,17.564936,4.69
2010,16.993716,4.85
2011,18.91152,5.0
2012,18.78503,5.08
2013,19.21646,5.23
2014,19.667016,5.39
2015,19.96158,5.64
2016,17.319176,5.74
2017,19.919332,5.81
2018,19.51614,5.85
2019,19.858368,5.9
2020,19.140612,5.87
2021,18.116354,5.74
2022,18.45342,5.67
2023,18.55195,5.65
2024,19.338266,5.61
2025,20.283475,5.70005
